episode_seed,success,terminated,truncated,collision,episode_return,episode_length,final_distance,min_distance,final_speed,min_speed,max_stage,reached_exit_stage,reached_goal_stage,final_x,final_y,final_z,goal_x,goal_y,goal_z
20017,False,False,True,False,179.7419814007604,422,0.24839553236961365,0.1561053842306137,0.09719712287187576,0.0,goal,True,True,0.7387412786483765,-0.055454760789871216,0.42127522826194763,0.5348711013793945,0.018837369978427887,0.30037039518356323
20018,False,False,True,False,160.11888837582225,422,0.42410433292388916,0.10243136435747147,0.04157653823494911,0.0,goal,True,True,0.8414741158485413,-0.2503719627857208,0.5664567351341248,0.5630571842193604,0.055315665900707245,0.47209811210632324
20019,True,True,False,False,62.0685168423849,245,0.0758453905582428,0.0758453905582428,0.13570985198020935,0.0,goal,True,True,0.5968742370605469,0.13081857562065125,0.7721646428108215,0.5948038101196289,0.07026898115873337,0.7265358567237854
20020,False,False,True,False,151.5968956612115,422,0.3762839436531067,0.10097125917673111,0.0601079985499382,0.0,goal,True,True,0.9265010356903076,-0.07219699770212173,0.832525372505188,0.5882848501205444,0.09032150357961655,0.8044689893722534
20021,True,True,False,False,52.56524290611145,226,0.09848745912313461,0.09848745912313461,0.14235538244247437,0.0,goal,True,True,0.618360698223114,0.05132671073079109,0.4697783291339874,0.6021704077720642,0.006580906920135021,0.38354918360710144
20022,True,True,False,False,58.97158636936847,216,0.0877157598733902,0.08717226982116699,0.1434396207332611,0.0,goal,True,True,0.6335476040840149,0.03269472345709801,0.39634644985198975,0.598409116268158,0.03372274339199066,0.31598299741744995
20023,False,False,True,False,148.66284267373135,422,0.491971492767334,0.06847210973501205,0.04078223556280136,0.0,goal,True,True,0.8736906051635742,-0.2823023200035095,0.8463327884674072,0.48759686946868896,0.02201700396835804,0.8274306058883667
20024,False,False,True,False,155.90204501195342,422,0.33808624744415283,0.12228380143642426,0.05793846771121025,0.0,goal,True,True,0.7896633148193359,-0.124371737241745,0.6711589097976685,0.5383248925209045,0.08827406167984009,0.5942623615264893
20025,True,True,False,False,66.87414163655124,238,0.09964156895875931,0.09964156895875931,0.10377012193202972,0.0,goal,True,True,0.5405319333076477,0.06608007103204727,0.6326313018798828,0.5073831677436829,0.0301364716142416,0.5458115935325623
20026,False,False,True,False,153.85927073164441,422,0.33077362179756165,0.08478228747844696,0.04842084273695946,0.0,goal,True,True,0.9093754887580872,-0.0868775025010109,0.8328726887702942,0.6232375502586365,0.07714007049798965,0.8076831698417664
